Block Type,48well,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\Dell\Desktop\David\2022-07-22_AML12_TNF-a_H_T_6A_MIF_Expression.eds,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2022-07-22 14:37:03 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,stepone,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,C?,C? Mean,C? SD,?C?,?C? Mean,?C? SE,HK Control ?C? Mean,HK Control ?C? SE,??C?,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Comments,HIGHSD,NOAMP,EXPFAIL
B5,TREM2,TNF-a,UNKNOWN,FAM,NFQ-MGB,252.0767059,220.0511627,288.7631531,26.52515984,26.6277771,0.324170709,9.892372131,9.802203178,0.045558821,,,-7.97771883,TRUE,0.289740989,TRUE,3,21,1,,N,N,N
B5,TREM2,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,16.6327877,16.82557487,0.363696635,,,,,,,TRUE,0.036425661,TRUE,3,13,1,,N,N,N
B6,TREM2,TNF-a,UNKNOWN,FAM,NFQ-MGB,252.0767059,220.0511627,288.7631531,26.36733437,26.6277771,0.324170709,9.768478394,9.802203178,0.045558821,,,-7.97771883,TRUE,0.289740989,TRUE,3,19,1,,N,N,N
B6,TREM2,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,16.59885597,16.82557487,0.363696635,,,,,,,TRUE,0.036425661,TRUE,3,13,1,,N,N,N
B7,TREM2,TNF-a,UNKNOWN,FAM,NFQ-MGB,252.0767059,220.0511627,288.7631531,26.9908371,26.6277771,0.324170709,9.745759964,9.802203178,0.045558821,,,-7.97771883,TRUE,0.289740989,TRUE,3,21,1,,N,N,N
B7,TREM2,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,17.24507713,16.82557487,0.363696635,,,,,,,TRUE,0.036425661,TRUE,3,14,1,,N,N,N
B8,6A,TNF-a,UNKNOWN,FAM,NFQ-MGB,217.2996674,192.8894653,244.7989807,27.42376518,27.31265068,0.236827359,10.09014702,10.01638031,0.039954793,,,-7.763542175,TRUE,0.289740989,TRUE,3,21,1,,N,N,N
B8,6A,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,17.33361816,17.29627037,0.245147869,,,,,,,TRUE,0.036425661,TRUE,3,15,1,,N,N,N
C1,6A,TNF-a,UNKNOWN,FAM,NFQ-MGB,217.2996674,192.8894653,244.7989807,27.47348976,27.31265068,0.236827359,9.952888489,10.01638031,0.039954793,,,-7.763542175,TRUE,0.289740989,TRUE,3,22,1,,N,N,N
C1,6A,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,17.52060127,17.29627037,0.245147869,,,,,,,TRUE,0.036425661,TRUE,3,13,1,,N,N,N
C2,6A,TNF-a,UNKNOWN,FAM,NFQ-MGB,217.2996674,192.8894653,244.7989807,27.0406971,27.31265068,0.236827359,10.00610542,10.01638031,0.039954793,,,-7.763542175,TRUE,0.289740989,TRUE,3,20,1,,N,N,N
C2,6A,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,17.03459167,17.29627037,0.245147869,,,,,,,TRUE,0.036425661,TRUE,3,14,1,,N,N,N
C3,MIF (His),TNF-a,UNKNOWN,FAM,NFQ-MGB,257.6191711,200.5781708,330.8816528,27.24446869,27.90094566,1.831442356,9.849067688,9.77082634,0.083919227,,,-8.009096146,TRUE,0.289740989,TRUE,3,23,1,,Y,N,N
C3,MIF (His),GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,17.395401,18.13011932,1.733379245,,,,,,,TRUE,0.036425661,TRUE,3,15,1,,Y,N,N
C4,MIF (His),TNF-a,UNKNOWN,FAM,NFQ-MGB,257.6191711,200.5781708,330.8816528,26.48822021,27.90094566,1.831442356,9.603113174,9.77082634,0.083919227,,,-8.009096146,TRUE,0.289740989,TRUE,3,20,1,,Y,N,N
C4,MIF (His),GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,16.88510704,18.13011932,1.733379245,,,,,,,TRUE,0.036425661,TRUE,3,14,1,,Y,N,N
C5,MIF (His),TNF-a,UNKNOWN,FAM,NFQ-MGB,257.6191711,200.5781708,330.8816528,29.97014999,27.90094566,1.831442356,9.860298157,9.77082634,0.083919227,,,-8.009096146,TRUE,0.289740989,TRUE,3,24,1,,Y,N,N
C5,MIF (His),GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,20.10985184,18.13011932,1.733379245,,,,,,,TRUE,0.036425661,TRUE,3,17,1,,Y,N,N
